Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,50,571,542,791,848,881,433,881,0.000%,26.75227,11.44,3.45
PostDashboardUserData,50,627,633,794,816,935,405,935,0.000%,21.47766,21.12,4.53
AddOrganization,50,408,381,558,588,599,284,599,0.000%,22.49213,20.16,5.27
MapOrganizationUserInviteCode,50,585,478,792,1098,1406,310,1406,0.000%,15.57632,6.30,3.86
SaveFeedbackForQuestions,50,1331,1523,1942,1955,2359,577,2359,0.000%,10.74345,3.19,3.33
GetQuestions,50,1976,2001,2383,2430,2777,710,2777,0.000%,9.31793,137.16,1.36
SaveAnswerForThemes,50,933,831,1623,1648,1790,466,1790,0.000%,9.99400,7.29,7.83
GetReports,50,825,762,1588,1617,1656,357,1656,0.000%,9.27816,2.21,2.14
GetThemeQuestions,50,1012,1016,1281,1336,1998,442,1998,0.000%,9.71628,108.76,1.48
GetThemeSummaryBYThemeCode,50,832,841,1028,1064,1107,316,1107,0.000%,13.23802,3.15,2.03
GetAssessmentList,50,1006,986,1365,1391,1592,623,1592,0.000%,12.98027,32.27,3.02
MapAnswerToUser,50,494,447,729,750,760,258,760,0.000%,19.46283,3.71,4.88
AddUser,50,354,299,536,544,609,220,609,0.000%,22.95684,17.82,7.56
GetAllUsersCount,50,347,313,478,513,539,257,539,0.000%,26.34352,6.69,3.52
GetUserByID,50,319,298,375,453,634,234,634,0.000%,24.98751,4.76,3.32
PostPasscodes,50,275,266,322,346,457,221,457,0.000%,25.85315,4.80,5.73
ChangePasscode,50,404,454,510,603,647,231,647,0.000%,23.67424,5.64,0.00
GetPasscodes,50,557,498,725,726,747,437,747,0.000%,23.84359,4.54,4.84
GetUserData,50,281,239,414,423,460,222,460,0.000%,27.02703,5.15,6.60
TOTAL,950,691,530,1425,1746,2333,220,2777,0.000%,66.20670,121.37,15.14
